bedroom,bathroom,floors,parking,roadsize(feet),Road type,Area(sq ft),Price
6,6,3,3,20,1,3058.85,57500000
4,4,3,0,16,3,2622.5,32500000
5,5,2,1,13,4,546.75,21000000
0,1,3,0,0,5,1026.75,17500000
0,1,3,0,12,5,1369,23500000
8,8,3,1,0,5,1112.31,32000000
4,4,3,1,20,1,1882.37,35200000
6,6,3,1,13,5,1775.42,27500000
0,1,3,0,18,3,2053.5,11000000
9,9,4,3,13,4,1640.25,40000000
6,6,3.5,3,13,5,1231.25,36000000
6,6,3,1,12,5,1540.12,32500000
0,1,3,0,15,5,855.62,7000000
6,6,2,1,11,5,729,30000000
0,1,3.5,0,18,1,1369,37500000
3,3,3,3,20,5,1796.8,23000000
0,1,3,0,0,5,1369,23500000
0,1,3,0,12,5,2258,26500000
8,8,3,0,12,5,1197.87,18500000
4,4,3,3,14,3,1800.25,41000000
0,1,2,0,13,1,2224.62,35000000
0,1,3,0,10,5,1197.87,11800000
7,7,3,4,14,1,2481.31,55000000
4,4,3,0,14,5,182.25,3650000
0,1,4,1,10,3,1369,25600000
0,1,3,1,10,5,2258,27500000
0,1,3,0,10,5,941.18,16200000
3,3,3,1,13,1,256.68,17500000
4,4,3,1,13,3,1197.87,26000000
0,1,3,0,13,5,1283.43,14500000
0,1,3,0,15,5,1369,40000000
5,5,3,3,12,1,2053.5,47000000
10,10,4,1,20,4,1112.3,22200000
5,5,3,4,12,5,729,37000000
0,1,3,0,0,5,1454.56,27000000
4,4,3,2,18,2,3080.25,55000000
6,6,3,2,13,1,911.25,31000000
3,3,3,0,12,5,1049,14300000
0,1,4,0,20,5,1275.75,33000000
2,2,1,0,15,3,1026.75,12500000
0,1,3,0,15,1,1882.37,29800000
0,1,3,0,0,5,1026.75,8400000
0,1,3,0,0,5,1711.25,27500000
0,1,2,0,13,1,1197.87,15500000
5,5,3,0,22,1,1155.09,27000000
2,2,1.5,1,13,3,941.18,11500000
2,2,1,0,12,3,1454.55,7500000
0,1,3,0,13,5,1112.31,13800000
6,6,3,6,15,1,2187,57500000
0,1,3,0,0,5,1540.12,23000000
5,5,2.5,0,22,1,1026.75,16500000
6,6,2.5,3,20,2,1369,21500000
4,4,3,2,15,1,911.25,37500000
4,4,2,2,13,5,2566.87,55000000
0,1,3,0,0,5,1026.75,25000000
0,1,3,0,0,5,855.62,13500000
5,5,3,1,12,1,889,17800000
0,1,3,0,0,5,1369,8500000
5,5,3,1,14,3,2622.5,33500000
0,1,2,0,13,3,1369,45000000
0,1,3,0,22,5,1369,26000000
4,4,3,0,10,3,1090.92,19000000
7,7,5,4,14,3,889,16000000
5,5,3,4,14,2,3422.5,70000000
0,1,2,0,5,1,1026.75,11000000
0,1,3,0,0,5,684.5,15500000
0,1,3,4,15,1,2369.25,51000000
0,1,3,0,0,5,1369,27000000
0,1,3,0,10,5,1197.87,17000000
0,1,3,0,16,3,1197.87,23000000
0,1,3,0,20,5,1026.75,13500000
7,7,4,2,14,4,729,40000000
0,1,3,0,0,5,1026.75,19500000
5,5,3,0,11,3,546.75,18000000
0,1,3,0,13,5,2258,17500000
0,1,2.5,0,20,1,1026.75,35000000
5,5,3,4,15,1,2369.25,69999999
0,1,3,0,10,5,1369,10500000
0,1,3,0,15,5,1711.25,36000000
6,6,3,2,12,1,911.25,35000000
8,8,4,0,20,3,1197.87,17000000
4,4,3,4,13,5,2738,25000000
4,4,3,1,0,5,546.75,30000000
5,5,2,3,14,3,1967.93,31500000
0,1,3,0,0,5,1283.43,14500000
0,1,3,0,0,5,1197.87,17500000
5,5,3,0,16,1,729,17500000
7,7,3,0,13,5,1573.5,22500000
0,1,3,0,13,1,1454.55,35000000
4,4,3,3,12,4,3422.5,61000000
4,4,2,0,15,5,1231.25,9500000
0,1,2.5,0,13,4,1540.12,31500000
6,6,3,1,13,3,911.25,38000000
6,6,2.5,1,10,3,1026.75,16500000
0,1,3,0,13,5,1240.65,21000000
5,5,2,3,13,3,1369,28500000
6,6,3,1,13,3,729,29000000
3,3,3,3,19.68504,1,1822.5,13500000
4,4,3,2,0,5,1231.25,15000000
0,1,3,0,13,3,1625.68,34000000
6,6,3,4,20,1,1458,45000000
8,8,4,2,13.5,1,1754.03,42500000
5,5,2.5,1,13,3,1026.75,22000000
0,1,3,0,13,5,1197.87,18500000
5,5,2,3,13,5,1240.65,14200000
0,1,3,0,20,3,1026.75,11000000
0,1,3,0,15,3,2566.87,9500000
0,1,3,3,14,3,1711.25,35000000
5,5,3,1,13,5,889,22000000
5,5,3,0,9,1,729,32000000
0,1,3,0,20,5,2139.06,36000000
6,6,3,4,13,5,1093.5,34000000
0,1,3,0,20,5,1026.75,13600000
9,9,3,1,13,1,1197.87,17800000
0,1,3,0,0,5,1711.25,40000000
0,1,3,0,0,5,1197.87,16000000
0,1,2,0,20,5,2440.25,27000000
4,4,2,4,14,1,2916,70000000
4,4,3,0,13,3,855.62,15000000
0,1,3,5,20,1,182.25,70000000
0,1,3,0,0,5,855.62,19000000
4,4,3,2,13,5,1197.87,22500000
6,6,3,1,13,1,729,29000000
6,6,4,0,13,5,2139.06,37500000
5,5,2,0,13,1,911.25,35000000
0,1,3,0,13,5,1026.75,8000000
0,1,3,3,18,1,2804.75,33000000
0,1,3,0,15,5,1822.5,25000000
0,1,3,0,16,5,1625.68,18000000
6,6,3,0,11,1,1659.06,22500000
0,1,3,0,0,5,1822.5,8000000
5,5,2.5,2,8,4,1582.9,27000000
0,1,5,0,14,1,855.62,50000000
2,2,1.5,1,16,3,855.62,11000000
7,7,2,4,15,2,1882.37,55000000
0,1,3,0,20,1,1262.04,27000000
0,1,3,1,12,1,855.62,13500000
0,1,3,0,13,5,1112.3,12500000
5,5,2,1,13,3,1093.5,50000000
0,1,3,0,0,5,855.62,13500000
0,1,3,2,15,4,2622.5,37500000
0,1,2,0,21,1,729,46500000
5,5,3,2,20,1,911.25,35000000
2,2,1,0,13,3,1347.6,13000000
0,1,3,1,12,5,1369,21000000
7,7,4,1,16,1,1711.25,37000000
6,6,3,2,14,1,911.25,26500000
2,2,2,1,13,1,1112.31,15800000
7,7,3,0,16,5,898.4,18000000
0,1,2,1,12,5,1026.75,18500000
0,1,3,0,13,5,855.62,16500000
0,1,3,0,0,3,546.75,15000000
7,7,3,2,13,1,2440.25,27500000
5,5,2,0,14,5,1689.85,40100000
4,4,3,1,13,3,1197.87,22500000
0,1,3,0,15,5,1197.87,23000000
2,2,1,1,18,3,1369,15000000
0,1,3,0,0,5,1540.12,19700000
0,1,3,0,0,5,1197.87,13000000
0,1,3,0,15,1,1640.25,49500000
0,1,3,0,0,5,1540.12,32500000
5,5,2.5,3,13,1,1197.87,22500000
0,1,3,0,20,4,1093.5,20000000
4,4,3,1,13,3,1026.75,21500000
5,5,3,1,14,3,729,28500000
9,9,3,0,10,3,546.75,16500000
5,5,3,1,13,5,1475.95,25500000
0,1,3,0,10,1,1283.43,29000000
4,4,3,1,20,1,2053.5,37100000
5,5,3,1,14,4,2440.25,31000000
5,5,2.5,3,15,2,1540.12,30000000
5,5,3,3,13,4,1093.5,45000000
0,1,3,0,13,5,1540.12,26500000
0,1,3,0,12,5,1454.56,22500000
5,5,2.5,1,13,3,1026.75,20000000
5,5,3,0,13,1,1640.25,70000000
6,6,3,5,20,5,1458,35000000
4,4,3,1,13,3,855.62,12900000
6,6,3,3,15,1,1369,38700000
0,1,3,0,0,5,1240.65,11000000
6,6,2.5,6,16,1,1369,31000000
10,10,3,0,20,3,1275.75,25000000
0,1,3,0,13,5,1283.43,15700000
0,1,3,0,20,5,1197.87,23000000
0,1,3,0,14,5,729,24500000
0,1,3,0,13,5,1197.87,21500000
0,1,3,0,20,4,729,50000000
4,4,2.5,3,15,1,983.96,19000000
4,4,3,2,13,5,729,26500000
0,1,3,0,0,5,2053.5,39000000
4,4,2.5,1,20,3,1369,21000000
3,3,3,0,12,5,546.75,19900000
0,1,3,4,16,3,1458,47500000
0,1,3,0,10,5,1093.5,30000000
0,1,3,0,20,5,1093.5,37500000
6,6,3,2,13,1,1711.25,28000000
6,6,3,1,13,1,889,19900000
0,1,3,0,13,5,1711.25,19200000
0,1,3,0,12,5,729,23000000
0,1,3,0,13,5,855.62,9500000
0,1,2,0,0,5,1231.25,15100000
7,7,3,1,13,1,2652.43,43500000
4,4,2,4,14,4,1369,20000000
5,5,3,1,16,3,1625.68,37500000
4,4,1,0,10,5,1231.25,9000000
6,6,3,1,13,4,729,26500000
3,3,3,1,18,5,1090.92,20000000
7,7,3,2,12,3,1253.5,25000000
2,2,3,0,14,1,911.25,37500000
5,5,3,2,11,3,1197.87,23000000
6,6,3,4,10,5,2053.5,29000000
0,1,3,0,20,3,1369,2600000
0,1,3,0,0,5,1369,32000000
0,1,3,0,10,5,1369,11000000
0,1,3,0,0,5,1026.75,16000000
5,5,3,3,18,1,1093.5,47500000
5,5,3,1,14,3,2258,17900000
6,6,3,2,13,3,1369,37500000
2,2,2,1,12,5,2139.05,35000000
5,5,3,1,13,3,2258,21500000
0,1,3,0,0,5,1026.75,21500000
5,5,2.5,2,20,1,1197.87,17000000
5,5,3,1,13,1,1231.25,18200000
4,4,3,0,13,1,2866.34,55000000
0,1,3,0,0,5,1369,23500000
5,5,3,0,15,3,911.25,32000000
7,7,3,4,20,1,2187,69000000
6,6,3,1,14,3,911.25,22000000
5,5,2.5,1,13,3,1411.78,23500000
4,4,2,2,20,3,1197.85,30000000
0,1,3,1,13,3,1060.12,19000000
0,1,3,0,15,1,2733.75,15000000
0,1,3,0,10,1,941.18,19000000
0,1,2,0,24,3,2142.5,55000000
3,3,6,1,10,4,342.25,22500000
0,1,3,0,24,5,1026.75,13500000
4,4,3,3,16,4,2395.75,70000000
0,1,3,0,12,5,1026.75,12500000
4,4,3,3,15,5,1640.25,47500000
0,1,3,0,11,5,1197.87,17500000
4,4,3,3,13,1,1925.15,36500000
5,5,3,3,15,1,2804.75,65000000
0,1,3,0,20,1,1640.25,15000000
0,1,2,0,8,5,2418,14300000
0,1,3,0,13,5,1026.75,15500000
0,1,3,0,13,5,1197.87,16500000
0,1,3,0,0,5,1026.75,11500000
4,4,3,1,16,1,729,33500000
0,1,3,0,13,5,1026.75,17000000
6,6,3,2,13,1,911.25,31000000
0,1,3,0,13,5,941.18,12500000
5,5,3,2,14,1,1093.5,36000000
5,5,3,2,15,3,1967.93,42500000
6,6,3,0,12,5,729,14000000
0,1,3,0,18,5,1369,28500000
5,5,3,2,13,3,729,30000000
5,5,3,2,12,4,1454.56,50000000
6,6,3,3,20,1,1093.5,45000000
0,1,3,0,0,5,684.5,18000000
4,4,2,1,20,3,1262.04,19500000
6,6,3,5,13,3,546.75,18200000
0,1,3,0,13,1,1026.75,18200000
6,6,3,2,14,3,729,27500000
6,6,3,1,20,1,1711.25,45000000
0,1,3,0,14,5,1369,25000000
0,1,3,0,10,5,2053.5,28000000
0,1,3,0,13,5,2622.5,25000000
4,4,2,0,20,5,1093.5,18000000
0,1,3,0,20,5,1347.6,39500000
0,1,3,0,0,3,546.75,16000000
4,4,2,2,18,5,889,21000000
6,6,3,1,10,5,1026.75,16500000
5,5,3,2,0,5,1133.7,25500000
0,1,2,0,15,3,3827.25,19000000
6,6,3,1,15,1,729,32000000
4,4,2,3,22,3,1711.25,26000000
2,2,1.5,1,13,3,1304.82,12500000
