bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
4,4,2.5,1,"Mahalaxmi-05, Imadol, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,19500000
3,4,N/A,2,"House no.21 , Civil homes, Khumaltar, Lalitpur",0,3,2,1,13,Paved,0.083333333,1219.26,36500000
7,3,N/A,1,"Seuchatar, kalanki, Kalanki, Kathmandu",0,3,,,10,Gravelled,1,1026.75,19000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,1,0,13,Soil Stabilized,1,1112.31,15500000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,0,0,10,Soil Stabilized,0.75,1026.75,13000000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,2,3,0,13,Soil Stabilized,0.75,941.18,11800000
4,4,2,1,"hepali hight house sale, Budhanilkantha, Kathmandu",0,4,2,0,13,Blacktopped,1,1540.12,43000000
4,3,N/A,1,"Suryadarsan Height, Tokha, Kathmandu, Tokha, Kathmandu",3,,,,12,Paved,2,546.75,16000000
0,0,2.5,0,"Gaurighat, Gaurighat, Kathmandu",0,5,3,0,13,Paved,3,1967.93,45000000
0,0,N/A,0,"Suryabinayak 03, Suryabinayak, Bhaktapur",0,4,0,0,0,Soil Stabilized,0.75,1369,22500000
4,3,N/A,2,"Dhapasi Height, Dhapasi, Kathmandu",7,,,,15,Gravelled,1,1275.75,37500000
0,0,N/A,0,"Jharuwarasi, Jharuwarashi, Lalitpur",0,6,0,0,13,Soil Stabilized,0.75,2053.5,17000000
0,0,N/A,0,"Kalanki, Kalanki, Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,21000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,2,2,16,Soil Stabilized,1,1240.65,23500000
0,0,3,1,"Garigaun, Baniyatar, Kathmandu",4,5,,,20,Blacktopped,0.583333333,2440.25,35000000
10,0,3,0,"Nearby Chapali Home, Budhanilkantha, Kathmandu",3,,,,13,Soil Stabilized,2,546.75,16800000
0,0,3,0,"Ravi Bhawan, Ravi Bhawan, Kathmandu",12,,,,13,Soil Stabilized,3,2187,60000000
3,6,3,6,"Basuki Basti, Gwarko, Lalitpur",12,,,,13,Blacktopped,0.333333333,2187,60000000
0,0,N/A,0,"Kapan, Kapan, Kathmandu",0,5,0,0,0,Soil Stabilized,0.916666667,1711.25,28000000
4,5,N/A,3,"Pasikot, Budhanilkantha, Kathmandu",6,,,,13,Gravelled,1,1093.5,32000000
6,4,3,3,"Tarkeshwor, Tarkeshwor, Kathmandu",0,3,2,0,13,Paved,0.083333333,1197.87,36000000
8,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,3,0,1,13,Gravelled,2,1048.14,16500000
10,0,3,3,"Nearby Hattigauda, Budhanilkantha, Kathmandu",6,,,,13,Soil Stabilized,2,1093.5,29800000
0,0,N/A,0,"Kharibot, Kapan, Kathmandu",0,2,2,0,0,Soil Stabilized,0.666666667,855.62,14000000
6,6,3,1,"Na, Bhangal, Kathmandu",4,,,,18,Blacktopped,2,729,23800000
